ID_hecho,Cantidad_Víctimas,Fecha,Hora,Lugar_del_hecho,Tipo_de_calle,Comuna,Longitud,Latitud,Vehículo_Víctima,Vehiculo_Acusado
2016-0001,1,2016-01-01,4,Av Piedra Buena Y Av Fernandez De La Cruz,Avenida,8,-58.47533969,-34.68757022,Moto,Auto
2016-0002,1,2016-01-02,1,Av Gral Paz  Y Av De Los Corrales,Gral Paz,9,-58.50877521,-34.66977709,Auto,Pasajeros
2016-0003,1,2016-01-03,7,Av Entre Rios 2034,Avenida,1,-58.39040293,-34.63189362,Moto,Auto
2016-0004,1,2016-01-10,0,Av Larrazabal Y Gral Villegas Conrado,Avenida,8,-58.46503904,-34.68092974,Moto,Sd
2016-0005,1,2016-01-21,5,Av San Juan Y Presidente Luis Saenz Peña,Avenida,1,-58.38718297,-34.6224663,Moto,Pasajeros
2016-0008,1,2016-01-24,18,Av 27 De Febrero Y Av Escalada,Avenida,8,-58.44451316,-34.68475866,Moto,Objeto Fijo
2016-0009,1,2016-01-24,19,Nogoya Y Joaquin V. Gonzales,Calle,11,-58.50095869,-34.6082544,Moto,Auto
2016-0010,1,2016-01-29,15,Av General Paz Y Av De Los Corrales,Gral Paz,9,-58.50877521,-34.66977709,Moto,Auto
2016-0012,1,2016-02-08,1,Av Belgrano Y Bernardo De Irigoyen,Avenida,1,-58.38048577,-34.61303893,Moto,Cargas
2016-0013,1,2016-02-10,11,Av Entre Rios 1366,Avenida,1,-58.39114932,-34.62477387,Peaton,Auto
2016-0015,1,2016-02-14,5,Av Scalabrini Ortiz Y Vera,Avenida,15,-58.4376002,-34.59912758,Peaton,Auto
2016-0016,1,2016-02-14,22,Av Regimiento De Patricios Y Quinquela Martin Benito,Avenida,4,-58.36882665,-34.64291993,Moto,Auto
2016-0017,1,2016-02-15,16,Mariano Acosta Y Ana Maria Janer,Avenida,8,-58.44989671,-34.65970435,Peaton,Moto
2016-0019,1,2016-02-17,9,Lisandro De La Torre Y Severo Garcia Grande De Zequeira,Calle,9,-58.50990884,-34.65468721,Peaton,Pasajeros
2016-0020,1,2016-02-17,16,Suipacha 156,Calle,1,-58.37952223,-34.60653282,Peaton,Auto
2016-0021,1,2016-02-17,23,Av Directorio Y Curapaligue,Avenida,7,-58.45157703,-34.63063795,Auto,Auto
2016-0022,1,2016-02-21,6,Av 9 De Julio Y Adolfo Alsina,Avenida,1,-58.38144696,-34.61079875,Moto,Auto
2016-0025,1,2016-02-28,4,Av Gral Paz Y Av 27 De Febrero,Gral Paz,8,-58.46244952,-34.70524971,Auto,Auto
2016-0026,1,2016-02-28,7,Holmberg Y Vedia,Calle,12,-58.49216191,-34.54738649,Auto,Objeto Fijo
2016-0027,1,2016-02-28,9,Curapaligue Y Avelino Diaz,Avenida,7,-58.44497874,-34.63852623,Auto,Auto
