ID_hecho,Fecha,Rol,Vehículo_Víctima,Sexo,Edad,Fecha_Fallecimiento
2016-0001,2016-01-01,Conductor,Moto,Masculino,19,2016-01-01
2016-0002,2016-01-02,Conductor,Auto,Masculino,70,2016-01-02
2016-0003,2016-01-03,Conductor,Moto,Masculino,30,2016-01-03
2016-0004,2016-01-10,Conductor,Moto,Masculino,18,
2016-0005,2016-01-21,Conductor,Moto,Masculino,29,2016-02-01
2016-0008,2016-01-24,Conductor,Moto,Masculino,30,2016-01-24
2016-0009,2016-01-24,Pasajero_Acompañante,Moto,Masculino,29,2016-01-26
2016-0010,2016-01-29,Conductor,Moto,Masculino,18,2016-01-29
2016-0012,2016-02-08,Conductor,Moto,Masculino,22,2016-02-08
2016-0013,2016-02-10,Peaton,Peaton,Masculino,16,2016-02-10
2016-0015,2016-02-14,Peaton,Peaton,Femenino,16,2016-02-14
2016-0016,2016-02-14,Pasajero_Acompañante,Moto,Femenino,19,2016-02-14
2016-0017,2016-02-15,Peaton,Peaton,Masculino,59,2016-02-16
2016-0019,2016-02-17,Peaton,Peaton,Femenino,65,2016-02-17
2016-0020,2016-02-17,Peaton,Peaton,Masculino,59,2016-03-02
2016-0021,2016-02-17,Conductor,Auto,Masculino,34,2016-02-17
2016-0022,2016-02-21,Pasajero_Acompañante,Moto,Masculino,41,
2016-0025,2016-02-28,Pasajero_Acompañante,Auto,Masculino,34,2016-02-28
2016-0026,2016-02-28,Conductor,Auto,Masculino,30,2016-03-04
2016-0027,2016-02-28,Pasajero_Acompañante,Auto,Masculino,34,
2016-0028,2016-03-02,Peaton,Peaton,Masculino,50,2016-03-02
2016-0029,2016-03-04,Peaton,Peaton,Masculino,38,2016-03-04
2016-0031,2016-03-08,Conductor,Moto,Masculino,21,
2016-0034,2016-03-12,Peaton,Peaton,Masculino,52,2016-03-12
2016-0035,2016-03-13,Conductor,Moto,Masculino,34,2016-03-13
2016-0036,2016-03-14,Pasajero_Acompañante,Moto,Masculino,36,2016-03-14
2016-0037,2016-03-19,Conductor,Moto,Masculino,20,2016-03-19
2016-0038,2016-03-21,Peaton,Peaton,Masculino,29,2016-03-21
2016-0039,2016-03-23,Conductor,Moto,Masculino,20,2016-03-23
2016-0041,2016-03-29,Conductor,Moto,Masculino,54,2016-03-29
2016-0041,2016-03-29,Pasajero_Acompañante,Moto,Masculino,SD,2016-03-30
2016-0043,2016-03-30,Peaton,Peaton,Femenino,56,2016-03-30
2016-0044,2016-03-31,Conductor,Moto,Masculino,24,2016-03-31
